,action,title,train/test
0,brush_hair,April_09_brush_hair_u_nm_np1_ba_goo_0.avi,2
1,brush_hair,April_09_brush_hair_u_nm_np1_ba_goo_1.avi,2
2,brush_hair,April_09_brush_hair_u_nm_np1_ba_goo_2.avi,2
3,brush_hair,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4.avi,1
4,brush_hair,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3.avi,1
5,brush_hair,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0.avi,1
6,brush_hair,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1.avi,1
7,brush_hair,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2.avi,1
8,brush_hair,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3.avi,1
9,brush_hair,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1.avi,1
10,brush_hair,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2.avi,1
11,brush_hair,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0.avi,1
12,brush_hair,Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0.avi,2
13,brush_hair,Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1.avi,2
14,brush_hair,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1.avi,1
15,brush_hair,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2.avi,1
16,brush_hair,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4.avi,1
17,brush_hair,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3.avi,1
18,brush_hair,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0.avi,1
19,brush_hair,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6.avi,1
20,brush_hair,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5.avi,1
21,brush_hair,Brushing_Hair_with_Beth_brush_hair_h_nm_np1_le_goo_0.avi,2
22,brush_hair,Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_1.avi,2
23,brush_hair,Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_2.avi,2
24,brush_hair,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_fr_goo_0.avi,2
25,brush_hair,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_1.avi,2
26,brush_hair,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_2.avi,2
27,brush_hair,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_3.avi,0
28,brush_hair,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_0.avi,1
29,brush_hair,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_1.avi,1
30,brush_hair,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_2.avi,0
